aig_name,inputs,latches,outputs,gates,correct_cnt,nonIC3_correct_cnt,ground_time,k_threshold,largest_k,checked_samples,alg_time,ac_cnt,ac_ratio 
lmcs06prodcell4.aig_47,116,172,0,1544,1000,501,35852.0284132957,47,88,47,1720.59044623137,1000,1
lmcs06prodcell4.aig_48,116,172,0,1544,1000,501,35852.0284132957,48,88,48,1649.91232388735,1000,1
lmcs06prodcell4.aig_49,116,172,0,1544,1000,501,35852.0284132957,49,88,49,1741.97483082533,1000,1
lmcs06srg5p0.aig_0,39,46,0,309,990,437,294.512497901916,0,0,0,0,437,0.441414141414141
lmcs06srg5p0.aig_1,39,46,0,309,990,437,294.512497901916,1,4.48,1.01,0.059791903495789,745.07,0.75259595959596
lmcs06srg5p0.aig_2,39,46,0,309,990,437,294.512497901916,2,6.28,2.02,0.112524483203888,869.83,0.878616161616162
lmcs06srg5p0.aig_3,39,46,0,309,990,437,294.512497901916,3,6.92,3.04,0.159008903503418,914.54,0.923777777777778
lmcs06srg5p0.aig_4,39,46,0,309,990,437,294.512497901916,4,7.68,4.07,0.224714157581329,963.87,0.97360606060606
lmcs06srg5p0.aig_5,39,46,0,309,990,437,294.512497901916,5,7.85,5.03,0.268883347511291,979.43,0.989323232323232
lmcs06srg5p0.aig_6,39,46,0,309,990,437,294.512497901916,6,7.94,6.06,0.336109933853149,984.98,0.994929292929293
lmcs06srg5p0.aig_7,39,46,0,309,990,437,294.512497901916,7,8,7.06,0.385907838344574,990,1
lmcs06srg5p0.aig_8,39,46,0,309,990,437,294.512497901916,8,7.85,8.13,0.430358304977417,979.43,0.989323232323232
lmcs06srg5p0.aig_9,39,46,0,309,990,437,294.512497901916,9,7.93,9.15,0.503506004810333,984.96,0.994909090909091
lmcs06srg5p0.aig_10,39,46,0,309,990,437,294.512497901916,10,8,10.1,0.550401573181152,990,1
lmcs06srg5p0.aig_11,39,46,0,309,990,437,294.512497901916,11,8,11.12,0.614826867580414,990,1
lmcs06srg5p0.aig_12,39,46,0,309,990,437,294.512497901916,12,8,12.16,0.674804129600525,990,1
lmcs06srg5p0.aig_13,39,46,0,309,990,437,294.512497901916,13,8,13.17,0.734717147350311,990,1
lmcs06srg5p0.aig_14,39,46,0,309,990,437,294.512497901916,14,8,14.16,0.801938462257385,990,1
lmcs06srg5p0.aig_15,39,46,0,309,990,437,294.512497901916,15,8,15.19,0.822628960609436,990,1
lmcs06srg5p0.aig_16,39,46,0,309,990,437,294.512497901916,16,8,16.2,0.878938271999359,990,1
lmcs06srg5p0.aig_17,39,46,0,309,990,437,294.512497901916,17,8,17.25,0.935139279365539,990,1
lmcs06srg5p0.aig_18,39,46,0,309,990,437,294.512497901916,18,8,18.19,1.00508529663086,990,1
lmcs06srg5p0.aig_19,39,46,0,309,990,437,294.512497901916,19,8,19.17,1.08833762407303,990,1
lmcs06srg5p0.aig_20,39,46,0,309,990,437,294.512497901916,20,8,20.25,1.10315093040466,990,1
lmcs06srg5p0.aig_21,39,46,0,309,990,437,294.512497901916,21,8,21.28,1.15457103729248,990,1
lmcs06srg5p0.aig_22,39,46,0,309,990,437,294.512497901916,22,8,22.21,1.20658937692642,990,1
lmcs06srg5p0.aig_23,39,46,0,309,990,437,294.512497901916,23,8,23.2,1.25893759965897,990,1
lmcs06srg5p0.aig_24,39,46,0,309,990,437,294.512497901916,24,8,24.2,1.32296875,990,1
lmcs06srg5p0.aig_25,39,46,0,309,990,437,294.512497901916,25,8,25.19,1.35882519721985,990,1
lmcs06srg5p0.aig_26,39,46,0,309,990,437,294.512497901916,26,8,26.28,1.42974786996841,990,1
lmcs06srg5p0.aig_27,39,46,0,309,990,437,294.512497901916,27,8,27.27,1.47367742776871,990,1
lmcs06srg5p0.aig_28,39,46,0,309,990,437,294.512497901916,28,8,28.31,1.50601471662521,990,1
lmcs06srg5p0.aig_29,39,46,0,309,990,437,294.512497901916,29,8,29.22,1.59742548465729,990,1
lmcs06srg5p0.aig_30,39,46,0,309,990,437,294.512497901916,30,8,30.3,1.65737169742584,990,1
lmcs06srg5p0.aig_31,39,46,0,309,990,437,294.512497901916,31,8,31.34,1.68267710924149,990,1
lmcs06srg5p0.aig_32,39,46,0,309,990,437,294.512497901916,32,8,32.27,1.74344693660736,990,1
lmcs06srg5p0.aig_33,39,46,0,309,990,437,294.512497901916,33,8,33.36,1.81643034219742,990,1
lmcs06srg5p0.aig_34,39,46,0,309,990,437,294.512497901916,34,8,34.36,1.88120028018951,990,1
lmcs06srg5p0.aig_35,39,46,0,309,990,437,294.512497901916,35,8,35.3,1.92242741107941,990,1
lmcs06srg5p0.aig_36,39,46,0,309,990,437,294.512497901916,36,8,36.41,1.95305438756943,990,1
lmcs06srg5p0.aig_37,39,46,0,309,990,437,294.512497901916,37,8,37.31,2.06259943723679,990,1
lmcs06srg5p0.aig_38,39,46,0,309,990,437,294.512497901916,38,8,38.33,2.10363425254822,990,1
lmcs06srg5p0.aig_39,39,46,0,309,990,437,294.512497901916,39,8,39.36,2.12597079515457,990,1
lmcs06srg5p0.aig_40,39,46,0,309,990,437,294.512497901916,40,8,40.39,2.21854862213135,990,1
lmcs06srg5p0.aig_41,39,46,0,309,990,437,294.512497901916,41,8,41.47,2.25048150539398,990,1
lmcs06srg5p0.aig_42,39,46,0,309,990,437,294.512497901916,42,8,42.3,2.28834115505219,990,1
lmcs06srg5p0.aig_43,39,46,0,309,990,437,294.512497901916,43,8,43.44,2.34389322519302,990,1
lmcs06srg5p0.aig_44,39,46,0,309,990,437,294.512497901916,44,8,44.45,2.45989144563675,990,1
lmcs06srg5p0.aig_45,39,46,0,309,990,437,294.512497901916,45,8,45.6,2.4458474612236,990,1
lmcs06srg5p0.aig_46,39,46,0,309,990,437,294.512497901916,46,8,46.46,2.51790303468704,990,1
lmcs06srg5p0.aig_47,39,46,0,309,990,437,294.512497901916,47,8,47.46,2.62587054491043,990,1
lmcs06srg5p0.aig_48,39,46,0,309,990,437,294.512497901916,48,8,48.33,2.61470970630646,990,1
lmcs06srg5p0.aig_49,39,46,0,309,990,437,294.512497901916,49,8,49.61,2.65977665901184,990,1
cutf3ro.aig_0,8,35,0,626,1000,664,139.918160200119,0,0,0,0,664,0.664
cutf3ro.aig_1,8,35,0,626,1000,664,139.918160200119,1,1.89,1,0.135886759757996,721.82,0.72182
cutf3ro.aig_2,8,35,0,626,1000,664,139.918160200119,2,4.01,2,0.314249782562256,795.52,0.79552
cutf3ro.aig_3,8,35,0,626,1000,664,139.918160200119,3,5.17,3,0.427136902809143,835.06,0.83506
cutf3ro.aig_4,8,35,0,626,1000,664,139.918160200119,4,5.93,4,0.579365315437317,858.77,0.85877
cutf3ro.aig_5,8,35,0,626,1000,664,139.918160200119,5,6.35,5,0.740719521045685,875.79,0.87579
cutf3ro.aig_6,8,35,0,626,1000,664,139.918160200119,6,6.66,6,0.838994612693787,890.17,0.89017
cutf3ro.aig_7,8,35,0,626,1000,664,139.918160200119,7,6.67,7,0.890293896198273,885.87,0.88587
cutf3ro.aig_8,8,35,0,626,1000,664,139.918160200119,8,7.68,8,1.16534938097,933.15,0.93315
cutf3ro.aig_9,8,35,0,626,1000,664,139.918160200119,9,7.15,9,1.26020100593567,907.46,0.90746
cutf3ro.aig_10,8,35,0,626,1000,664,139.918160200119,10,7.82,10,1.36865851163864,932.8,0.9328
cutf3ro.aig_11,8,35,0,626,1000,664,139.918160200119,11,8.12,11,1.57064863204956,946.29,0.94629
cutf3ro.aig_12,8,35,0,626,1000,664,139.918160200119,12,8,12,1.59266402482986,945.17,0.94517
cutf3ro.aig_13,8,35,0,626,1000,664,139.918160200119,13,8.18,13,1.81355972766876,948.18,0.94818
cutf3ro.aig_14,8,35,0,626,1000,664,139.918160200119,14,8.06,14,1.83651866436005,942.06,0.94206
cutf3ro.aig_15,8,35,0,626,1000,664,139.918160200119,15,8.48,15,2.05236027002335,961.34,0.96134
cutf3ro.aig_16,8,35,0,626,1000,664,139.918160200119,16,8.32,16,2.18317165374756,959.71,0.95971
