aig_name,inputs,latches,outputs,gates,correct_cnt,ic3_ac_cnt,ic3_ac_ratio,ic3_timeout,ic3_time,fsis_ac_cnt,fsis_ac_ratio,fsis_timeout,fsis_time,init_alg,all_timeout,gen_threshold,i234_time,if_frame,i234_ac_cnt,i234_ac_ratio 
139452p0.aig,214,295,1,5693,1000,514,0.514,0,0.719844579696655,514,0.514,0,1.53257369995117,Init2,false,32,3.683335,1,324,0.324
pdtvisvsar21.aig,17,130,1,2101,529,529,1,0,0.16890549659729,529,1,0,0.279934883117676,Init2,false,2,0.272064,1,529,1
pdtvisvsa16a26.aig,32,236,1,6244,532,532,1,0,0.418783903121948,532,1,0,0.630754709243774,Init2,false,2,0.522867,1,532,1
power2eq2048.aig,8,25,1,168,1000,675,0.675,0,55.9693236351013,659,0.659,0,8.70139741897583,Init4,false,0,20.644719,1,1000,1
pdtvismiim0.aig,41,86,1,893,433,129,0.297921478060046,0,0.068088054656983,23,0.053117782909931,0,0.178797960281372,Init4,false,0,0.29416,1,433,1
neclaftp5001.aig,1888,21,1,57,1000,1000,1,0,0.268866062164307,1000,1,0,0.078392267227173,Init2,false,2,0.321959,1,1000,1
pdtvistwoall0.aig,30,33,1,1713,1000,1000,1,0,0.319409132003784,1000,1,0,1.83319568634033,Init2,false,2,0.373037,1,1000,1
pdtvisvending09.aig,2,34,1,951,1000,1000,1,0,0.168834209442139,1000,1,0,0.179134368896484,Init2,false,2,0.172212,1,1000,1
6s206rb025.aig,9204,28643,1,143652,408,296,0.725490196078431,0,18.1102402210236,0,0,1,1200.01460838318,Init3,false,0,65.273483,1,408,1
6s405rb611.aig,196,11861,1,164004,980,0,0,0,17.1649060249329,0,0,0,1137.37292289734,Init2,false,2,47.711994,2,0,0
pj2008.aig,446,441,1,17551,1000,220,0.22,0,2.22436285018921,400,0.4,0,6.24586749076843,Init2,false,32,2.932798,7,535,0.535
pdtswvroz8x8p1.aig,9,87,1,3067,319,61,0.191222570532915,0,4.57947278022766,0,0,1,1200.01448988915,Init2,false,2,45.093864,42,130,0.407523510971787
pdtvisvsar17.aig,17,130,1,2102,755,755,1,0,0.219173669815063,755,1,0,0.329276561737061,Init2,false,2,0.272854,1,755,1
pdtvisvsar01.aig,17,130,1,2104,41,41,1,0,0.067617654800415,41,1,0,0.228520393371582,Init2,false,2,0.121528,1,41,1
neclaftp5002.aig,1888,21,1,57,999,999,1,0,0.268889427185059,999,1,0,0.078948020935059,Init2,false,2,0.322483,1,999,1
